Time,/fdm/jsbsim/simulation/sim-time-sec,/fdm/jsbsim/position/h-sl-ft,/fdm/jsbsim/position/h-agl-ft,/fdm/jsbsim/position/lat-geod-deg,/fdm/jsbsim/position/long-gc-deg,/fdm/jsbsim/position/distance-from-start-lat-mt,/fdm/jsbsim/position/distance-from-start-lon-mt,/fdm/jsbsim/velocities/vtrue-fps,/fdm/jsbsim/velocities/mach,/fdm/jsbsim/velocities/u-fps,/fdm/jsbsim/velocities/v-fps,/fdm/jsbsim/velocities/w-fps,/fdm/jsbsim/velocities/v-north-fps,/fdm/jsbsim/velocities/v-east-fps,/fdm/jsbsim/velocities/v-down-fps,/fdm/jsbsim/velocities/p-rad_sec,/fdm/jsbsim/velocities/q-rad_sec,/fdm/jsbsim/velocities/r-rad_sec,/fdm/jsbsim/attitude/phi-rad,/fdm/jsbsim/attitude/theta-rad,/fdm/jsbsim/attitude/psi-rad,/fdm/jsbsim/aero/alpha-rad,/fdm/jsbsim/aero/beta-rad,/fdm/jsbsim/accelerations/Nx,/fdm/jsbsim/accelerations/Ny,/fdm/jsbsim/accelerations/Nz,/fdm/jsbsim/fcs/throttle-cmd-norm,/fdm/jsbsim/fcs/elevator-cmd-norm,/fdm/jsbsim/fcs/aileron-cmd-norm,/fdm/jsbsim/fcs/rudder-cmd-norm,/fdm/jsbsim/propulsion/engine/thrust-lbs,/fdm/jsbsim/propulsion/total-fuel-lbs,/fdm/jsbsim/inertia/mass-slugs,/fdm/jsbsim/atmosphere/T-R,/fdm/jsbsim/atmosphere/rho-slugs_ft3,/fdm/jsbsim/fcs/ap-roll-setpoint-rad,/fdm/jsbsim/fcs/ap-alt-setpoint-ft,/fdm/jsbsim/fcs/ap-speed-setpoint-fps
16.39999344,16.3999934399993386,14617.9155814163387,14617.8534990933513,30.2029128135455487,120.000025002709293,4002.88727290122824,2.40749547270458608,746.474718954816467,0.704953439796329406,744.560853333604769,0.00957436089091012743,53.4194873631160476,746.472681038122687,0.922311966120000881,1.48048744214879235,-4.96876720919317235e-06,0.0024017438484084299,7.24747653035197456e-05,1.02066917666529316e-06,0.0696402679020659554,0.00122280652724482755,0.0716235747248443189,1.28261020072833411e-05,-0.10284855784144753,-2.686598631607472e-05,1.06822783693419132,0,0,0,0,0,4696.90737419135985,550.347546775309638,466.576686991346946,0.00151487818271488434,0,15000,750
16.4999934,16.4999933999993296,14617.7773748748004,14617.7152926359468,30.2031178352799685,120.00002529520556,4025.61513584661316,2.43565471028014491,745.905387562730198,0.704415404880370799,743.994112640584945,0.00956389927416356755,53.3629783631612895,745.903705010875001,0.927025324492862235,1.28478410800500598,-5.02418409425902035e-06,0.00231244007604345476,7.24376437695162359e-05,1.0274617266318423e-06,0.0698799332712754101,0.00123007269909059577,0.0716023832696922602,1.2821866464426495e-05,-0.102625270577546113,-2.68112681279914499e-05,1.06612279263806453,0,0,0,0,0,4696.88862074445387,550.346963900368792,466.577179167803308,0.00151488498362578453,0,15000,750
16.59999336,16.5999933599993206,14617.6583962477744,14617.5963140027052,30.2033227007305989,120.000025589191807,4048.32567452697458,2.46395730361117726,745.336504329563695,0.703877845412316239,743.427825131215741,0.00955362576007989794,53.3064106427417528,745.335116240457069,0.931728657251264747,1.09593190823848374,-5.0745587837303861e-06,0.00222305972037813507,7.24019231834983022e-05,1.03039826038165987e-06,0.0701106514628828947,0.00123733534126262775,0.0715810373719025367,1.28178691166281562e-05,-0.102403516880417322,-2.67571361351589029e-05,1.06401396724377406,0,0,0,0,0,4696.8698672975479,550.346381025428059,466.577602870466762,0.00151489083838221225,0,15000,750
16.69999332,16.6999933199993116,14617.5579600781202,14617.4958777519096,30.2035274100077231,120.000025884664907,4071.01890116586492,2.49240295090062691,744.768093204012871,0.70334078204981898,742.862010398179336,0.00954353400279017716,53.2498457353390222,744.766943739735552,0.936422082939389555,0.913937086049116942,-5.11955898858238085e-06,0.00213488647016968347,7.23675692963064737e-05,1.02994223061352244e-06,0.0703324737700364161,0.00124459458765245677,0.0715596172447195145,1.28141015842861994e-05,-0.102183474801870525,-2.67035625320770364e-05,1.0619021142282461,0,0,0,0,0,4696.85111385064192,550.345798150487326,466.577960540361801,0.00151489578070617293,0,15000,750
16.79999328,16.7999932799993026,14617.4753805585206,14617.4132980759077,30.2037319632293304,120.000026181621706,4093.69482884220861,2.52099134761826482,744.2001767502652,0.702804234147908713,742.296680483463433,0.00953362396456602923,53.1934312435934658,744.199214975713062,0.941105720666059686,0.738799486275645734,-5.15898310445220271e-06,0.0020490924698171333,7.23345346234412906e-05,1.02658527747891635e-06,0.0705455763221831539,0.00125185056831561537,0.071538319432216016,1.28105639620481235e-05,-0.101965295868638783,-2.66505784310964343e-05,1.05979012762747171,0,0,0,0,0,4696.83236040373595,550.345215275546479,466.578254619760344,0.00151489984433854212,0,15000,750
16.89999324,16.8999932399992936,14617.4099724441767,14617.3478897348014,30.2039363605207534,120.000026480059148,4116.35347144722891,2.54972219881578077,743.632775417472658,0.702268219071551236,741.731840636657353,0.00952390144814918571,53.1373801588397896,743.631955135152793,0.94577968890648334,0.570506567433454848,-5.19278124554169547e-06,0.00196656963784073817,7.23027717068791038e-05,1.02083388482440014e-06,0.070750240805755385,0.00125910340879537897,0.0715174294405679922,1.28072642347734908e-05,-0.101749102995007529,-2.6598262024956242e-05,1.05768256390053583,0,0,0,0,0,4696.81360695682997,550.344632400605519,466.578487548931605,0.00151490306299399647,0,15000,750
16.9999932,16.9999931999992846,14617.3610525950789,14617.2989695913038,30.2041406020137799,120.000026779974206,4138.99484358978589,2.57859521228499311,743.065907092668795,0.701732751777560115,741.167490971567531,0.00951437656555820244,53.0819415605586187,743.065186711978413,0.950444104612463425,0.409029378380857622,-5.22106280116830791e-06,0.00188781831424300107,7.22722441860875034e-05,1.01319441723172118e-06,0.0709468207994401467,0.00126635323068078395,0.0714972825852099175,1.28042162545773064e-05,-0.101534992269924684,-2.65467196158842219e-05,1.05558494254926383,0,0,0,0,0,4696.794853509924,550.344049525664786,466.578661760649595,0.00151490547028497739,0,15000,750
17.09999316,17.0999931599992756,14617.3279416188598,14617.2658582517197,30.204344687845996,120.000027081363882,4161.61896051974418,2.60761009855783454,742.499586713707913,0.701197844453436248,740.603628420298492,0.00950506149001528744,53.027367937407746,742.498928915085457,0.955099082050307469,0.254320967438850687,-5.24408934930387446e-06,0.00181290550535941758,7.22429341394238174e-05,1.00415786403351253e-06,0.0711357000886744251,0.00127360015298585527,0.0714782200906126236,1.28014367419976067e-05,-0.101323038096368931,-2.64960633436459804e-05,1.05350295521479209,0,0,0,0,0,4696.77610006301802,550.343466650724054,466.578779674342741,0.0015149070996406974,0,15000,750
17.19999312,17.1999931199992666,14617.3099657036364,14617.2478819076186,30.2045486181599543,120.000027384225206,4184.22583803862381,2.63676657090631794,741.933826663631407,0.700663506894656618,740.040249323134049,0.00949596792086815356,52.9738845028340393,741.9331983358569,0.959744733252434479,0.106317276531036953,-5.26225411015469635e-06,0.00174149319497855868,7.22148449335745463e-05,9.94185660520940526e-07,0.0713172501058790542,0.0012808442942425515,0.071460547608799746,1.27989418730635327e-05,-0.101113300361373462,-2.64463892131037365e-05,1.05144170783004287,0,0,0,0,0,4696.75734661611205,550.342883775783207,466.578843689566611,0.00151490798421682004,0,15000,750
17.29999308,17.2999930799992576,14617.3064581900835,14617.2443738995007,30.204752393102325,120.000027688555249,4206.8154924038754,2.66606434671085779,741.368636905682934,0.700129746636312777,739.477351290949969,0.00948710468430624676,52.9216649880385717,741.36800883715182,0.964381167524033467,-0.0350598176664647099,-5.27605084079551021e-06,0.00167292636466461527,7.21879995137793924e-05,9.83697787858498087e-07,0.0714917930128176199,0.00128808577442857618,0.071444502332823609,1.27967440383806343e-05,-0.100905832687022121,-2.63977591448540599e-05,1.04940511713975426,0,0,0,0,0,4696.73859316920607,550.342300900842361,466.578856180405808,0.00151490815681796761,0,15000,750
17.39999304,17.3999930399992486,14617.3167607262731,14617.2546758895041,30.2049560128233487,120.000027994351129,4229.38794026992946,2.69550314746022623,740.804025804531875,0.699596569731654516,738.914935058365927,0.009478475854039492,52.8708171494536145,740.803372633367758,0.969008492558975254,-0.169897946856380599,-5.28603657593910552e-06,0.00160636212377601902,7.21624348750658264e-05,9.73064055272898132e-07,0.0716595756964860942,0.00129532471675276113,0.0714302330411772379,1.27948492774512735e-05,-0.100700690083048591,-2.63501893109436507e-05,1.04739553168233401,0,0,0,0,0,4696.71983972230009,550.341718025901628,466.578819491360832,0.00151490764984076542,0,15000,750
17.499993,17.4999929999992396,14617.3402240090072,14617.2781385755407,30.2051594774763394,120.000028301609987,4251.94319862989141,2.72508269738317965,740.240000331609053,0.699063980947883357,738.353004930630959,0.00947007965114332606,52.8213793001067984,740.239300057574837,0.973626813938436753,-0.29828899773436035,-5.29279298005288102e-06,0.00154091659623126253,7.21381938995824452e-05,9.62599019787616807e-07,0.0718207576264520836,0.00130256124844460456,0.0714177950417888424,1.27932557645618861e-05,-0.100497935442883476,-2.63036464589743833e-05,1.04541362887532041,0,0,0,0,0,4696.70108627539412,550.341135150960895,466.578735934708675,0.0015149064952372593,0,15000,750
17.59999296,17.5999929599992306,14617.376207895577,14617.3141218042401,30.2053627872174602,120.000028610329011,4274.4812847929652,2.75480272481676502,739.676566897667158,0.698531984552596019,737.791569094741135,0.0094619082550146949,52.7733275501099683,739.675800603965286,0.978236236362859723,-0.420324003572687843,-5.29689108799306441e-06,0.0014758055977716351,7.2115316156071561e-05,9.52560556231023425e-07,0.0719754133689765735,0.00130979550095708559,0.0714071595483140587,1.27919535087580784e-05,-0.100297643296720695,-2.62580517691630446e-05,1.04345856148665961,0,0,0,0,0,4696.68233282848814,550.340552276020048,466.578607790104115,0.0015149047245093005,0,15000,750
17.69999292,17.6999929199992216,14617.4240811392665,14617.361994338602,30.205565942205439,120.000028920505343,4297.00221635547496,2.78466295399635211,739.113732407682278,0.698000585309194621,737.230639535691353,0.00945394849251068869,52.7265917164516509,739.112884527091637,0.982836865702488849,-0.536088940773069567,-5.29886319782172911e-06,0.00141045809195175856,7.20938292296341389e-05,9.43151667388968895e-07,0.0721235481060584493,0.00131702760942026134,0.0713982348380384213,1.27909252368671257e-05,-0.100099901224190449,-2.62132914916904733e-05,1.04152832755578895,0,0,0,0,0,4696.66357938158217,550.339969401079202,466.578437305522243,0.00151490236872146031,0,15000,750
17.79999288,17.7999928799992126,14617.4832207113504,14617.4211331536881,30.2057689426017788,120.000029232136299,4319.5060112185347,2.81466312558039577,738.551503842004195,0.697469788079428832,736.670230091482381,0.00944618323801715842,52.6810766311579073,738.550561670766683,0.98742880744038608,-0.645661974362738533,-5.29918419496897442e-06,0.00134458743607332497,7.20737418803549723e-05,9.34524750271796255e-07,0.0722651225334172281,0.00132425771074445235,0.071390894978068109,1.27901482687868114e-05,-0.0999048085014387355,-2.61692320700814945e-05,1.03962027735423068,0,0,0,0,0,4696.64482593467619,550.339386526138469,466.578226699672541,0.00151489945853430525,0,15000,750
17.89999284,17.8999928399992037,14617.5530109591782,14617.4909226064174,30.2059717885706682,120.000029545219107,4341.99268758168546,2.84480297202062626,737.989888316390648,0.696939597877754835,736.110354860098255,0.00943859328024021504,52.6366852669505647,737.988841464642064,0.992012166622473823,-0.749112434303420116,-5.29826333587123886e-06,0.00127821315121121049,7.20550400941446254e-05,9.26787424696985271e-07,0.0724000827074490483,0.00133148594148369275,0.0713850111059172732,1.27895970255503326e-05,-0.09971247249825968,-2.61257371446113914e-05,1.03773167013081258,0,0,0,0,0,4696.62607248777022,550.338803651197736,466.577978164997091,0.00151489602424573992,0,15000,750
17.9999928,17.9999927999991947,14617.6328427381814,14617.570753550337,30.2061744802791452,120.000029859751109,4364.46226396020211,2.87508223671846608,737.428893908649798,0.696410020649603112,735.551027507040544,0.009431159362165209,52.5933400320294595,737.427734662071884,0.996587050139234321,-0.846501517909558743,-5.29644579802335876e-06,0.00121163411624528039,7.20376864963175577e-05,9.20008934643226115e-07,0.0725283898995862236,0.0013387124359119382,0.071380480289765999,1.27892457704411696e-05,-0.0995230036316981648,-2.60826838386985432e-05,1.03586019394895579,0,0,0,0,0,4696.60731904086424,550.33822077625689,466.577693870761721,0.00151489209583363801,0,15000,750
18.09999276,18.0999927599991857,14617.722112711519,14617.660022637916,30.2063770178970863,120.000030175729592,4386.91475918580181,2.90550065760521559,736.868528803649156,0.695881062462007427,734.992259249819995,0.00942386405526385307,52.5509989942209472,736.867251889556087,1.00115356471263728,-0.937884444389602834,-5.29402174554172844e-06,0.00114536139652941836,7.20216229331866625e-05,9.14226224391773294e-07,0.072650045678164632,0.00134593732352922854,0.0713772477847254422,1.27890711669026821e-05,-0.0993365097029485361,-2.60399759354282584e-05,1.03400437079123253,0,0,0,0,0,4696.58856559395826,550.337637901316043,466.577375965550004,0.00151488770299023387,0,15000,750
18.19999272,18.1999927199991767,14617.8202228844166,14617.7581318974826,30.2065794015972209,120.000030493151982,4409.35019240240126,2.9360579862983589,736.308800732409395,0.69535272897259226,734.434057636049602,0.00941669323057858776,52.5096651253143705,736.307402902910781,1.00571181574121638,-1.02331360027704221,-5.29124019118814047e-06,0.00108002431458247439,7.20067757391382646e-05,9.09449034243868433e-07,0.0727651089589066158,0.00135316072714861124,0.0713753198580765746,1.27890542955190296e-05,-0.0991530904657684925,-2.59975521724689645e-05,1.03216379476708431,0,0,0,0,0,4696.56981214705229,550.33705502637531,466.577026578921505,0.00151488287514496361,0,15000,750
18.29999268,18.2999926799991677,14617.9265805184841,14617.8644885780323,30.2067816315549216,120.000030812015666,4431.76858305128917,2.96675397031349997,735.749716910863867,0.694825025371443417,733.876426377573466,0.00940963695421215274,52.4693877718904105,735.748196891698967,1.01026190750841582,-1.10284209887979756,-5.28832439959089012e-06,0.00101626631049306208,7.19930627614399254e-05,9.05663666027454332e-07,0.0728737031075827185,0.00136038276185171001,0.0713747660314835858,1.27891818891568029e-05,-0.0989728334236892049,-2.59553890444095737e-05,1.03033918576153027,0,0,0,0,0,4696.55105870014631,550.336472151434577,466.576647821717074,0.00151487764146861843,0,15000,750
18.39999264,18.3999926399991587,14618.0405983515084,14617.978505427056,30.2069837079479058,120.000031132318114,4454.16995083192342,2.99758836537909312,735.191283537969753,0.694297955907651976,733.319365271033121,0.00940268971853541746,52.4302567253491816,735.189641881064858,1.01480394212892766,-1.17652716603296881,-5.28548566910255795e-06,0.000954647193084758126,7.19804009827841525e-05,9.02835314348189144e-07,0.0729760127450002488,0.00136760353447533422,0.0713757112833888485,1.2789446677799382e-05,-0.0987958111742033573,-2.59134979819961856e-05,1.02853226241707385,0,0,0,0,0,4696.53230525324034,550.335889276493731,466.576241785275784,0.00151487203086247426,0,15000,750
18.4999926,18.4999925999991497,14618.161695189774,14618.0996012529267,30.2071856309559443,120.000031454056739,4476.55431567049072,3.02856092175339997,734.633505450280268,0.693771523564597259,732.762870691886746,0.00939585004264598123,52.3923904519560324,734.631744364134988,1.01933801877115249,-1.24443284229160156,-5.28293308793410891e-06,0.000895566029990295604,7.19687136425436319e-05,9.00909190692499103e-07,0.073072271628374097,0.00137482314387282734,0.0713783202301140202,1.27898468735687852e-05,-0.0986220806975786762,-2.58719179502441781e-05,1.02674547114482118,0,0,0,0,0,4696.51355180633436,550.335306401552884,466.575810539325914,0.00151486607192908196,0,15000,750
18.59999256,18.5999925599991407,14618.2892966344953,14618.2272016547831,30.2073874007603322,120.000031777229083,4498.9216976644766,3.05967140201235743,734.076385912117303,0.693245729863634974,732.206936478951093,0.00938911955988952496,52.3559207516154856,734.074509080033295,1.02386423306933261,-1.3066316388412389,-5.28087773725062915e-06,0.00083921456823706983,7.19579358900923551e-05,8.99810851379963653e-07,0.0731627441614957352,0.00138204168182349141,0.0713827763436719054,1.27903849522133786e-05,-0.0984516844857064033,-2.58307048938433261e-05,1.02498162447081742,0,0,0,0,0,4696.49479835942839,550.334723526612152,466.575356129397733,0.00151485979293648548,0,15000,750
18.69999252,18.6999925199991317,14618.4228359945118,14618.3607399499524,30.2075890175434481,120.000032101832673,4521.27211702931163,3.09091956736656082,733.519926580253809,0.692720574833071479,731.65155506169117,0.00938250178422006531,52.3209764633527357,733.517938994827432,1.02838267683500417,-1.36320497414843089,-5.27953092826727403e-06,0.000785565630390305499,7.19480183088621537e-05,8.99446272105437126e-07,0.0732477038400193847,0.00138925923441295162,0.0713892597545827123,1.27910659881022065e-05,-0.0982846532154545566,-2.57899199550291471e-05,1.02324351110954437,0,0,0,0,0,4696.47604491252241,550.334140651671419,466.574880573573409,0.00151485322177325474,0,15000,750
18.79999248,18.7999924799991227,14618.5617551319301,14618.4996580040279,30.2077904814882139,120.000032427865108,4543.60559404012292,3.12230518587100425,732.964127752679474,0.6921960572452317,731.096718758717316,0.00937600075776112707,52.287668762087435,732.962035707521522,1.0328934383954782,-1.41424241612492096,-5.27909710716793675e-06,0.000734395287647078348,7.19389280165844239e-05,8.99702217180182792e-07,0.0733274121299626463,0.00139647588371565154,0.0713979271023371109,1.2791895814552781e-05,-0.0981210094582371239,-2.57496182652996104e-05,1.02153353943085601,0,0,0,0,0,4696.45729146561644,550.333557776730572,466.574385859475342,0.00151484638590684514,0,15000,750
18.89999244,18.8999924399991137,14618.7055052183568,14618.6434069805055,30.2079917927777579,120.000032755323886,4565.92214899817009,3.15382801600561091,732.408987966077689,0.691672174238217696,730.542420166487318,0.00936961980198514066,52.256080057692941,732.40679843512612,1.03739660099345099,-1.45983993315897465,-5.27976283110605043e-06,0.000685332595161511414,7.19306473830790265e-05,9.00447356124178667e-07,0.0734021008172204698,0.00140369170909624558,0.0714088962888096285,1.27928793286117801e-05,-0.0979607716610901291,-2.57098399286570323e-05,1.01985346154967083,0,0,0,0,0,4696.43853801871046,550.332974901789726,466.573873941573197,0.00151483931234634912,0,15000,750
18.9999924,18.9999923999991047,14618.8535472303629,14618.7914478642197,30.208192951594981,120.000033084206706,4588.22180217716232,3.18548783540924374,731.854505349827946,0.691148922595797077,729.988653942859401,0.00936336056677500306,52.2262580304312678,731.852226431717213,1.04189224607988695,-1.50009749341286636,-5.28168410381613595e-06,0.000637927155500902349,7.19231709018084748e-05,9.01534484767211223e-07,0.0734719604097127249,0.00141090678908908332,0.0714222380271873902,1.27940191644440861e-05,-0.0978039581503649808,-2.56706044692919997e-05,1.01820422159955837,0,0,0,0,0,4696.41978457180448,550.332392026848993,466.573346739419492,0.00151483202761809317,0,15000,750
19.09999236,19.0999923599990957,14619.0053522400558,14618.9432517326095,30.2083939581222793,120.000033414511151,4610.50457379465934,3.21728441077738081,731.300676770270911,0.690626297939915812,729.435415994755772,0.00935722245190140356,52.1982150045016056,731.29831695724647,1.04638045039519101,-1.53511640195619492,-5.28497394022259107e-06,0.000591722868717270791,7.1916500700984655e-05,9.02803896373460647e-07,0.0735371354490679391,0.00141812120182388448,0.0714379748871619286,1.2795314908612052e-05,-0.0976505900344589312,-2.56319090047514269e-05,1.01658592600461528,0,0,0,0,0,4696.40103112489851,550.33180915190826,466.572806136614872,0.00151482455775131292,0,15000,750
