t_s,h_sl_m,position_h-sl-ft,h_agl_m,position_h-agl-ft,lat_deg,lon_deg,x_north_m,x_east_m,vtrue_mps,velocities_vtrue-fps,mach,u_mps,velocities_u-fps,v_mps,velocities_v-fps,w_mps,velocities_w-fps,vn_mps,velocities_v-north-fps,ve_mps,velocities_v-east-fps,vd_mps,velocities_v-down-fps,p_radps,q_radps,r_radps,phi_rad,theta_rad,psi_rad,alpha_rad,beta_rad,nx_g,ny_g,nz_g,throttle,elevator,aileron,rudder,thrust_lb,fuel_lb,mass_kg,inertia_mass-slugs,temp_K,atmosphere_T-R,rho_kgpm3,atmosphere_rho-slugs_ft3
1.000000,4569.545918,14991.948548,4569.526537,14991.884964,30.169255,120.000000,271.757873,0.009598,269.728800,884.937008,0.836909,269.697278,884.833590,0.003015,0.009892,4.123557,13.528729,269.694306,884.823838,0.019114,0.062710,4.313534,14.152016,-0.000089,-0.024369,0.000089,-0.000112,-0.000704,0.000058,0.015288,0.000011,-0.513412,-0.000020,0.584157,0.000000,0.000000,0.000000,0.000000,15.896512,4699.795405,8033.028670,550.437310,258.469287,465.244717,0.771294,0.001497
1.100000,4569.093726,14990.464979,4569.074347,14990.401401,30.169498,120.000000,298.682624,0.011604,269.228687,883.296219,0.835353,269.199781,883.201381,0.002563,0.008409,3.945136,12.943360,269.187051,883.159615,0.021036,0.069017,4.734705,15.533808,-0.000043,-0.019333,0.000083,-0.000119,-0.002933,0.000067,0.014654,0.000010,-0.521841,-0.000010,0.554621,0.000000,0.000000,0.000000,0.000000,0.000000,4699.776652,8033.020163,550.436727,258.472222,465.250000,0.771332,0.001497
1.200000,4568.598382,14988.839835,4568.579005,14988.776262,30.169741,120.000000,325.556346,0.013803,268.723035,881.637255,0.833779,268.693922,881.541738,0.002297,0.007536,3.955503,12.977373,268.673230,881.473852,0.022961,0.075331,5.173447,16.973252,0.000003,-0.011865,0.000077,-0.000121,-0.004533,0.000075,0.014720,0.000009,-0.528917,-0.000007,0.543998,0.000000,0.000000,0.000000,0.000000,0.000000,4699.757898,8033.011657,550.436144,258.475438,465.255788,0.771373,0.001497
1.299999,4568.059119,14987.070602,4568.039745,14987.007036,30.169983,120.000000,352.378436,0.016193,268.212399,879.961940,0.832189,268.179863,879.855193,0.002219,0.007281,4.177603,13.706045,268.153731,879.769458,0.024883,0.081636,5.609569,18.404099,0.000045,-0.003710,0.000071,-0.000119,-0.005340,0.000083,0.015576,0.000008,-0.534936,-0.000009,0.555065,0.000000,0.000000,0.000000,0.000000,0.000000,4699.739145,8033.003150,550.435561,258.478938,465.262088,0.771417,0.001497
1.399999,4567.477223,14985.161491,4567.457850,14985.097933,30.170224,120.000000,379.148363,0.018775,267.697073,878.271237,0.830584,267.657766,878.142278,0.002311,0.007582,4.587275,15.050114,267.629305,878.048901,0.026797,0.087917,6.023059,19.760691,0.000081,0.003435,0.000066,-0.000113,-0.005365,0.000090,0.017137,0.000009,-0.539851,-0.000015,0.585697,0.000000,0.000000,0.000000,0.000000,0.000000,4699.720391,8032.994644,550.434978,258.482715,465.268886,0.771465,0.001497
1.499999,4566.855786,14983.122658,4566.836416,14983.059108,30.170465,120.000000,405.865672,0.021548,267.177293,876.565922,0.828965,267.128164,876.404738,0.002536,0.008321,5.123450,16.809220,267.100668,876.314528,0.028701,0.094164,6.398299,20.991793,0.000108,0.008258,0.000063,-0.000103,-0.004773,0.000096,0.019177,0.000009,-0.543775,-0.000024,0.629870,0.000000,0.000000,0.000000,0.000000,0.000000,4699.701638,8032.986138,550.434395,258.486748,465.276147,0.771516,0.001497
1.599999,4566.199123,14980.968250,4566.179755,14980.904709,30.170706,120.000000,432.529971,0.024511,266.653205,874.846474,0.827332,266.592172,874.646235,0.002849,0.009346,5.704864,18.716745,266.568340,874.568045,0.030594,0.100375,6.726881,22.069818,0.000126,0.010067,0.000062,-0.000092,-0.003834,0.000102,0.021396,0.000011,-0.547003,-0.000035,0.679360,0.000000,0.000000,0.000000,0.000000,0.000000,4699.682884,8032.977631,550.433812,258.491010,465.283819,0.771570,0.001497
1.699999,4565.511976,14978.713832,4565.492611,14978.650299,30.170946,120.000000,459.140904,0.027662,266.124851,873.113030,0.825685,266.051471,872.872279,0.003196,0.010486,6.249123,20.502373,266.032545,872.810188,0.032478,0.106554,7.008597,22.994085,0.000135,0.008869,0.000062,-0.000079,-0.002855,0.000108,0.023484,0.000012,-0.549993,-0.000045,0.725713,0.000000,0.000000,0.000000,0.000000,0.000000,4699.664131,8032.969125,550.433229,258.495470,465.291847,0.771627,0.001497
1.799999,4564.798728,14976.373779,4564.779366,14976.310255,30.171185,120.000000,485.698123,0.031002,265.592180,871.365421,0.824025,265.507912,871.088950,0.003530,0.011582,6.689904,21.948504,265.493189,871.040647,0.034354,0.112710,7.250616,23.788112,0.000135,0.005290,0.000064,-0.000065,-0.002112,0.000114,0.025191,0.000013,-0.553257,-0.000053,0.762014,0.000000,0.000000,0.000000,0.000000,0.000000,4699.645377,8032.960618,550.432647,258.500100,465.300180,0.771686,0.001497
1.899999,4564.062764,14973.959199,4564.043405,14973.895686,30.171424,120.000000,512.201256,0.034528,265.055076,869.603269,0.822351,264.962919,869.300915,0.003809,0.012496,6.988921,22.929530,264.949925,869.258283,0.036227,0.118854,7.465229,24.492221,0.000129,0.000383,0.000067,-0.000052,-0.001798,0.000121,0.026371,0.000014,-0.557207,-0.000059,0.784148,0.000000,0.000000,0.000000,0.000000,0.000000,4699.626624,8032.952112,550.432064,258.504877,465.308778,0.771747,0.001497
1.999999,4563.306111,14971.476742,4563.286755,14971.413238,30.171663,120.000000,538.649890,0.038242,264.513401,867.826118,0.820663,264.416997,867.509832,0.004005,0.013140,7.140796,23.427807,264.402266,867.461501,0.038099,0.124995,7.666794,25.153522,0.000118,-0.004637,0.000071,-0.000039,-0.001989,0.000128,0.026999,0.000015,-0.562036,-0.000063,0.791323,0.000000,0.000000,0.000000,0.000000,0.000000,4699.607871,8032.943605,550.431481,258.509788,465.317618,0.771809,0.001498
